id,selling_price,code,item_name
192,2200,2309,FOSFOMAX
193,1400,2368,SURE KIT
194,2850,3474,LAEKIT
195,700,3653,ZETRO SYRUP
196,1750,5130,CLOFORT SUSP 250MG/5ML 75ML
197,30,5138,DAWAFLOX FLUCLOXACILIN 500MG
198,400,5173,AZIC 250MG
199,30,5390,SOBISIS FORTE 1GM 100S
200,130,5399,RIFAXA 200MG 10S
201,700,5427,CLINDAR T GEL
202,68,5440,ACINET (AMOXICLAV) 1000MG
203,350,5441,ACINET 228-5ML SUSP 100ML
204,50,5442,ACINET 375(CO-AMOXICLAV) 10'S
205,650,5443,ACINET457MG/5ML(AMOXICLAV)
206,1300,5446,ACTIDROX(CEFADROXIL)1000MG 10'S
207,50,5480,CEFIXIME[CEFIZ]400MG
208,650,5495,AZIFINE KIT
209,300,5496,AZITHROSAFE(AZITHROMYCIN) 500MG
210,700,5498,AZIX 500MG 3'S
211,300,5499,AZITHROSAFE 250MG/5ML
212,350,5509,CEPHALEXIN 125MG SUSP
213,70,5556,LIVOTA 750MG
214,50,5563,flubiotic(flucloxacillin)500mg
215,15.41,5732,FLUBIOTIC 250MG 20S
216,400,5804,ZAHA ORAL SUSP 15ML
217,540,5805,CLARICOS 500MG 10S
218,810,5808,KLACID XL 500MG 5S
219,400,5834,LEBAC 50ML (CEFUROXIME)
220,1700,5852,G KIT (H PYLORI)
221,3000,5861,L-SIGN KIT
222,123,5871,LIVOTA 500MG
223,50,5890,CEFIXIME (CIXOFY)200MG 10'S
224,700,5891,ACTIDROX 500MG 14'S(cefadroxil)
225,250,5892,METRO-D SUSP100ML
226,60,5906,DROX 500MG (cefadroxil)
227,500,5921,AMOXICLAV (KOACT)625 15MG
228,100,5923,ENHANCIN 1G 10'S
229,100,5988,ORNITAB 500MG 10S
230,400,5995,DIAROBIC 500MG 10'S(ORNIDAZOLE)
231,100,6018,CURAM 1000MG 14S
232,100,6019,BEECLAV 1GM TABS 20S
233,565.5,6020,ENHANCIN 625MG 10S
234,500,6021,CLAXY SUSP 228MG 100ML
235,500,6022,BEECLAV 457MG 70ML
236,60,6187,CLINDAZED 150 10S
237,80,6188,CLINDAZED 300MG
238,50,6228,ZOFLOX 10S
239,20,6253,PEN V TABS 100S (UNIPEN)
240,0,6321,ACINET 156/5ML 100ML
241,900,6351,CLARICOS 125MG SUSPENSION
242,500,6399,MOXACLAV FORTE 457MG 50ML
243,140,3253,LIPITAS 80MG
244,130,4237,COMBIVAS 20
245,2388,5841,LAXEDO 30S
246,20,129,vasopril 10mg 100s
247,20,159,ANGILOCK 50MG TABS
248,20,180,BISOPROLOL 2.5MG
249,25,191,Enril 20MG
250,5,225,furosemide b/p
251,50,238,CILNEED 5MG
252,10,258,Atenol 25MG
253,5,312,HCTZ 25MG B/P
254,30,383,ISOSORBIDE 20MG CARMIL
255,5,388,HCTZ 50MG B/P
256,30,395,Inderal 40mg
257,5,432,Propranolol b/p
258,10,438,Atenol 50mg
259,120,461,ATACAND PLUS
260,25,484,AVAS 20
261,170,515,Norvasc 10mg PRL
262,140,536,TRIPLIXAM 5/1.25/10M
263,30,542,Moduretic 100's
264,5,543,NIFEDIPINE 20MG
265,250,545,UPERIO 100MG
266,30,563,AMTAS 5MG
267,15,577,Enril 10MG
268,5,606,Digoxin 125mcg 100's
269,20,608,VARINIL 10MG
270,5,615,Benduric 5mg
271,25,619,DOXAZOSIN 4MG
272,50,633,FLECAINIDE 50G
273,7,685,Enril 5MG
274,30,694,BAYER ASPIRIN
275,55,697,Repace H
276,70,719,ONTEL 40
277,230,752,Co-Diovan 80MG/12.5
278,35,769,CLONIDINE 0.1MG TABS
279,80,780,Aztor 20mg
280,50,781,CONCOR 5MG
281,25,842,EXPLAT 75MG
282,200,910,XARELTO 20MG
283,40,934,AMLODENK 10MG
284,10,935,Cardinol 50mg
285,10,959,Hydralazine 25MG
286,15,970,ENAPRIL 10MG
287,45,973,ZAART 50MG
288,20,993,PRESARTAN 25MG
289,20,1010,INDERAL 10MG
290,7,1015,Cardispirin
291,100,1037,CLOPILET 75MG
292,200,1081,XARELTO 10MG
293,45,1085,CILVAS 5MG
294,80,1136,Ziak 5/6.25
295,10,1154,Enapril 5MG
296,35,1226,REVELOL XL 25MG
297,30,1239,Provask 5mg
298,30,1272,Captopril denk
299,90,1273,Irovel H
300,110,1292,ADALAT LA 30MG
301,7,1335,Cardinol 25mg
302,70,1357,Tenormin 100mg
303,245,1382,UPERIO 50MG
304,45,1385,amlosun 5mg
305,30,1395,NEBI 2.5MG
306,170,1404,Diovan 80MG
307,105,1440,CILNITEL 20/80CT
308,90,1460,Rozavel 10mg
309,80,1483,Amlosun 10mg
310,145,1499,IVADIN 5MG
312,35,1521,AMLODENK 5MG
313,70,1549,TENORMIN 50MG
314,7,1592,Ascard 75MG
315,20,1612,vidol tabs 12.5mg
316,30,1621,Nifedidenk retard 20mg
317,20,1647,CARDITAN AM 28'S
318,17,1692,VIDOL 6.25MG
319,50,1710,CILNEED 10MG
320,25,1768,AVASTATIN 20MG TABS
321,60,1795,Telmi 40mg
322,125,1802,GLENTEL CT 80 TABS
323,55,1806,ZAART H
324,85,1811,NEBILONG 10MG
325,65,1856,ONTEL 40MG AM 30S
326,70,1901,ARBITEL -80MG
327,70,1923,Nebicard 5mg
328,80,1953,Lipitas 10mg
329,110,1995,AMTEL 40/5
330,80,2000,CILNITEL 10/40
331,35,2013,Aldactone 25mg
332,60,2026,TORAS-DENK 10MG 30's
333,50,2031,Torsinex 10
334,70,2032,Aztor 10mg
335,250,2085,Co-Diovan 160MG/12.5
336,45,2116,Nebi 5mg
337,70,2125,Natrilix SR
338,170,2149,UPERIO FCT 200MG
339,105,2159,lipiget 40mg
340,90,2161,Lipitas 20mg
341,110,2178,Teltas 80H 30's
342,48,2182,CARDIPIN 40/2.5
343,100,2188,LASIX ORIGINAL
344,120,2193,Zestril 10mg (LISINOPRIL)
345,75,2221,Amzart
346,110,2222,Teltas 80mg
347,50,2246,TORAS-DENK 5MG
348,110,2276,COVERAM 10MG/5MG
349,40,2287,NILOL TABS
350,80,2303,CLOPRESS 75mg tabs
351,210,2304,PROCORALAN 5MG
352,200,2310,Logimax
353,105,2317,ATORID 80MG TABS
354,65,2342,DIAMOX 250MG
355,105,2381,ONTEL 80
356,110,2390,Amtel 80/5
357,70,2404,Losartas HT
358,100,2425,GLIFEMPA 10MG
359,80,2436,BETALOC ZOK 25MG
360,50,2465,LOSARTAS 50MG
361,75,2469,TASMI 40MG
362,100,2527,ROVISTA 20MG
363,105,2539,AMTEL 80/10
364,255,2548,TWYNSTA 80/10 MG
365,75,2550,CILNEB 10/5
366,120,2558,PLENDIL 5MG
367,100,2573,NEBILONG AM
368,85,2588,CARCA 12.5MG
369,40,2598,METOZ 2.5MG
370,85,2632,Teltas 40mg
371,55,2664,NEBI AM
372,75,2706,RAMITAS 5
373,70,2714,ATORID 10EZ
374,100,2721,MICARTEL 40MG 28'S
375,12,2739,NIFELAT REMEDICA
376,80,2793,ARBITEL AM TABS
377,150,2835,XATRAL LP 5MG
378,125,2891,Irovel 300mg
379,40,2902,AMLOVAS 10MG
380,110,2989,Carca 25mg
381,110,3001,PLENDIL 10MG
382,45,3006,Carca 6.25mg
383,40,3032,PROSAN HZ
384,75,3038,CILVAS 10MG 30'S
385,120,3162,ATACAND 8MG TABS parallel
386,50,3197,ARBITEL 40MG
387,145,3285,Nebilet 5mg
388,150,3288,Tenoretic 100mg
389,40,3305,repace 50mg
390,165,3379,APROVEL TABS 300MG
391,115,3407,COVERSYL 10MG (PERINDOPRIL)
392,80,3465,XANAX TABS 0.5MG
393,110,3475,Norvasc 5mg
394,130,3532,Zestril 20mg (LISINOPRIL)
395,135,3538,BIPRETERAX 5/1.25
396,130,3568,GLENTEL AMH 80MG
397,100,3600,TRANDATE 200MG
398,100,3620,ATACAND 16MG TABS
399,60,3641,AVAS 40MG 30's
400,130,3645,Zestoretic
401,170,3687,LIPITOR 80MG
402,210,3729,PROCORALAN 7.5MG
403,35,3784,CORBIS 5MG
404,245,3874,PLAVIX 75MG TABS
405,120,3892,Aldactone 100mg
406,40,3928,carca 3.125
407,55,3988,Atorid 20mg
408,90,4045,Irovel 150mg
409,80,4068,NEBTAS 5MG
410,170,4166,COAPROVEL 150/12.5mg
411,160,4231,EPNONE 50MG
412,335,4249,hytrin tabs 2mg 28s
413,80,4312,CARDIPIN 80/2.5
414,90,4446,ONTEL 80H
415,160,4540,APROVASK 300/5
416,75,4629,TILDIEM 90MG
417,110,7727,GLENTEL AMH 40
418,38,5172,LORTAN 50MG TABS 30'S
419,45,5174,LORTAN H TABS 30'S
420,110,5417,ZITEN M 20/500 30S
421,90,5418,ZITEN 20 MG
422,140,5467,nebilet plus 5/25
423,35,5589,INDURIC SR 1.5 28S
424,230,5613,LONITEN 5MG 60S (minoxidil)
425,50,5659,telmicos 80mg
426,45,5663,TELMICOS 40MG
427,45,5664,TELMICOS AMH 30S
428,50,5665,TELMICOS H
429,55,5713,CILNIDAY 10MG 30S
430,2182,5854,SECUTRIL VT 100MG 14S
431,90,5856,ROSTAT 20MG 30S
432,75,5857,ROSTAT 10MG 30S
433,100,5919,CILVAS TEL 10/80MG
434,130,5946,MICARTEL AMC 80
435,100,5971,DICARD 50MG 30S
436,110,5972,DICARD 100MG F/C
437,25,5973,LOSACARD 50MG 30S
438,25,5974,LOSACARD H 30S
439,130,5975,MICARTEL AMC 40 28S
440,20,6049,LISINOPRIL 5MG
441,15,6103,AMLODIPINE 10MG (SANDOZ)
442,85,6122,TELMI 40 AM 28
443,35,6124,CARVEDILOL 25MG 28S
444,130,6153,crestor 10mg 28s
445,75,6156,rosumac 10mg 30s
446,50,6159,RAMITAS 2.5
447,50,6166,ROVASTIN F 10/160
448,50,6167,ROVASTIN F 5/160MG
449,30,6190,aldomet 250mg parallel
450,135,6193,SECUTRIL VT 50GMS
451,140,6199,SECUTRIL VT 200MG 14S
452,15,6234,ECOSPIRIN 75MG 28S
453,90,6244,SPIROGLEN TABS
454,190,6377,BRAMOX 2.5MG 100
455,65,6384,NEBILONG 2.5MG 30S
456,80,6421,OLMIDAY(OLMESARTAN) 40MG 30'S
457,200,6428,RANEXA 500MG
458,20,6431,SIMVASTATIN 40MG
459,200,455,ENTAMAXIN 100ML
460,410,1326,DABORAL SY 125MG/5ML
461,350,1960,DIRACIP M SUSP 100ML
462,1050,2593,Flagyl 100ml
463,700,2822,Netazox susp 30ml
464,470,2851,UNIBROL SY 60ML
465,10,66,METRONIDAZOLE 400MG
466,5,73,METRONIDAZOLE 200MG
467,50,117,TINIDAZOLE 500MG
468,35,335,Dapsone 100mg b/p
469,150,377,Tagera 2's
470,70,792,Daboral 250mg
471,65,937,UNIBROL 250MG
472,650,1524,Netazox DT 200mg
473,150,1593,Ornilox tabs 500mg
474,50,1687,Dazolic 500mg
475,750,1894,NETAZOX 500MG 6's
476,10,2039,DIRACIP M Tabs 30'S
477,15,2141,ENTAMAXIN CAPS
478,350,2467,DIRACIP M DS
479,90,2636,Gabbroral 250mg
480,1200,3715,TRIOKIT 4'S
481,300,6434,DYSEN FORTE[SECNIDAZOLE]
482,150,6435,SECNID DS
483,85,6029,ROSU Q TABLETS 10MG 30S
484,90,6030,ROSU Q TABLETS 20MG 30S
485,85,6359,LIPILOC 10 RZ 30S
486,65,224,GEMER 2
487,40,291,Glucored Forte
488,70,384,DIAMICRON MR 60MG
489,2500,441,NOVORAPID FLEXPEN
490,40,478,Amaryl 1mg
491,315,539,TRAJENTA 5MG
492,10,595,Glucophage 500mg
493,30,778,GLUCOPHAGE XR 1G
494,80,855,AVEZA 20MG 30'S
495,25,880,Daonil
496,80,896,AMARYL 3MG
497,15,920,Glucomet 850mg
498,200,958,FORXIGA 10MG TABS
499,20,971,Glucomet N
500,7,991,Glucomet 500mg
501,50,1045,hyponid
502,100,1083,TREVIAMET 50/850
503,25,1096,GLUCOMET XR 1000MG
504,100,1103,GLUCOWELL MET 50/1000
505,25,1158,Piogluc 30mg
506,15,1163,Metformin denk 500mg
507,130,1184,EMPIGET 10MG
508,90,1198,INOSITA PLUS 50/1000
509,18,1201,Glucophage 850mg
510,150,1202,GALVUS 50mg original 28s
511,60,1228,GLIPITA M 50/500
512,20,1230,glucophage 1G
513,35,1255,DIAPRIDE -4
514,7,1341,Nogluc 112's
515,25,1370,GLICLAZ M TABS
516,100,1550,TREVIAMET 50/1000mg
517,2800,1585,lantus vial 10ml
518,20,1630,GLUCOMET 500XR
519,80,1661,INOSITA PLUS 50/500
520,40,1769,GETRYL 2MG
521,110,1924,JANUMET 50/1000MG
522,35,1958,Pioday M tabs
523,140,2066,EMPIGET 25MG
524,90,2091,TREVIA 50Mg
525,100,2128,Treviamet 50/500mg
526,23,2163,Metformin denk 850mg
527,60,2294,GLIPITA M 50/1000
528,90,2575,Amaryl M
529,30,2637,Metforal 850mg
530,80,2648,GETRYL 4MG
531,70,2678,Vastarel MR
532,20,2687,Pioday tabs 15gm
533,110,2761,TREVIA 100Mg
534,90,3024,Amaryl 2mg
535,35,3030,Pioday tabs 30mg
536,80,3035,TRIPRIDE-2
537,120,3375,GLYSIT 10MG 28'S
538,150,3473,GALVUS MET 50/500MG
539,150,3478,Galvus met 50/850mg
540,80,3574,GLUCOWELL MET 50/850
541,75,3643,GLUCOWELL 50MG
542,332,3702,KOMBIGLYZE XR 5/1000MG
544,95,3925,DAPAPRIDE 10MG
545,1400,4203,GLIPMEVIA 50/500
546,75,4389,Amaryl 4mg
547,110,4394,JANUMET 50/500MG
548,1500,4399,HUMULIN 70/30 VIAL
549,150,4545,GALVUS MET 50/1000MG
550,1300,4610,HUMULIN R 10ML VIAL
551,85,4819,INOSITA 100MG
552,47,5170,LORTAN AM TABS 30'S
553,15,5580,GLIBORAL 5MG
554,25,5585,GLYPIN 2MG 28'S
555,35,5586,GLYPIN 4MG 28'S
556,95,5660,GLUCOWELLMET 50/500MG
557,130,5748,EMPIGET M 5MG+500MG
558,60,5772,GLIPITA 50MG
559,30,5789,METFORMIN (DENK) 1000MG 30S
560,136,5791,DIAPHAGE 500MG 30S
561,177,5792,DIAPHAGE 850 MG 30S
562,45,5977,MELANOV MR 60
563,100,5978,XENGLU MET 12.5/1000MG 14S
564,100,5979,XENGLU MET 12.5/500 14S
565,100,5980,XENGLU 10MG 14S
566,50,5981,DIAPRIDE PLUS 1
567,35,6014,GLYPIN-MET 2/500MG
568,95,6037,GLIFEMPA XR TABS 30S
569,105,6039,DAPAFLO 5MG
570,85,6040,EMPAFLO 25MG 30S
571,4655,6079,DAPIGA 10M 30S
572,3600,6080,DAPIGA 5M 30S
573,65,6162,GLITAMET 50/1000
574,65,6163,GLITAMET 50/500
575,80,6241,VILDAMET 50/1000
576,70,6242,VILDAMET 50/500
577,130,6257,GLIFEMPA-LIN XR 30S
578,318,6258,KOMBIGLYZE 2.5MG/1000
579,45,6271,JENTIN 50MG TABS 14'S
580,55,6272,JENTIN 50MG/1000MG TABS 14'S
581,50,6273,JENTIN MET 50MG/500MG TABS 14'S
582,130,6289,GALVUSMET 50/850 PRL
583,130,6313,XEMPALIP 10/5 MG 20S
584,580,6333,TRELAZ 50MG 4'S
585,120,6334,XEMPA 10MG 20S
586,50,6339,DIAMICRON 60MG TURKEY 60S
587,50,6340,DIAMICRON MR 30MG TURKEY
588,150,29,LOPERAMIDE
589,10,188,Diastop Tabs
590,10,854,Activated Charcoal
591,140,2219,FLORANORM SATCHETS
592,450,3856,Imodium Caps
593,150,5176,IMMOBULK CAPS 6'S (LOPERAMIDE)
594,150,5572,flutrox(fluconazole) 200mg 10's
595,170,5591,ITACARE 100MG 10S
596,432,5749,ITRAMET 100MG 4S
597,62,5755,FUNGISTAT CREAM 15GM
598,175,6348,FLUCONA DENK 100MG 10S
599,20,134,KETOCONAZOLE TABS
600,250,149,FLUCOZAL 50MG
601,10,345,Griseofulvin 125mg
602,100,704,FUNGITER 250MG TABS
603,60,1059,TERBINAFORCE
604,20,1097,Griseofulvin 500mg
605,10,1120,Griseofulvin 250mg
606,70,1276,FUNGITER 125MG TABS
607,900,1289,VAGID CL
608,135,1394,itranox caps 100mg
609,1500,1772,Diflucan 150mg
610,450,1865,Lamisil 125mg
611,180,1883,TERBEX 250MG TABS
612,230,1891,Canditral 100mg
613,450,2053,Sporanox 100mg 14'S
614,350,2542,Diflucan 50mg caps
615,950,3108,DIFLUCAN 200MG CAPS
616,700,4370,Lamisil 250mg
617,150,6149,DICONAZOLE 200MG
618,55,376,PROGUANIL TABS
619,400,1013,Lonart susp 60ML
620,400,1697,P Alaxin susp
621,1500,2429,MOZZISHIELD 100
622,550,5644,COARTEM 20/120MG 12S
623,324,5645,COARTEM 20/120 6S
624,100,6267,ARTEMETHER 80MG INJ 6'S
625,440,6045,NIDOZOX 60ML
626,500,6145,DYRADE MDS
627,100,155,BETAMOL SUSP 60ML
628,150,342,Ibumex Suspension 60ML
629,220,693,Ibumex Suspension 100ML
630,150,809,CETAMOL SYRUP 100ML
631,60,980,CRIPTON 2.5MG
632,350,1436,BABYMOL SUSP 100ML
633,400,1767,BRUSTAN SYR
634,250,1821,BETAFEN PLUS SUSP 100ML
635,600,1922,PANADOL ELIXIR 5-12
636,550,2038,CALPOL SUSP 100ML
637,350,2270,CALPOL SUSP 60ML
638,1650,2864,NUROFEN ORANGE 100ML
639,550,4019,PANADOL INFANT 100ML
640,1400,4169,BRUFEN (PAED) SUSPE
641,250,4480,Ibugesic Suspension100ML
642,40,121,CYCLOVIR 400MG
643,35,281,Univir 200mg tabs
644,250,1146,UNIVIR CREAM
645,257,1786,TRUVADA 200/300MG
646,100,2673,UNIVIR 800MG
647,70,2951,UNIVIR 400MG TABS
648,150,972,zyban 150mg
649,45,1172,NICORETTE 2MG O
650,50,5670,NICORETTE FF 2MG
651,200,37,hyoscine inj
652,15,84,HYOSCINE 10MG TABS
653,5,326,METOCLOPRAMIDE 10mg
654,20,523,Domperon TABS
655,5,763,Pyridoxine tabs
656,20,978,CYCLOPAM P TABLETS
657,30,1427,Nosic Tabs
658,220,1601,SOLIFEN 5MG TABS
659,65,1695,URISPAS
660,30,1792,stugeron tabs
661,50,2286,Motilium tabs
662,50,2401,BUSCOPAN TABS(PLAIN)
663,25,2717,NeuroForte Tab
664,85,3230,BUSCOPAN PLUS TABS
665,40,3615,Neurorubine Forte
666,75,4218,DUSPATALIN 135MG
667,210,4381,URISOL SATCHETS
668,250,4437,DEFLUX 100ML
669,55,4853,Fortan p tabs
670,35,6165,SPASMORID M TABS
671,10,40,OMEPRAZOLE CAPS 20MG
672,200,351,CYTOTEC 200MG
673,35,477,ANTEPSIN 1G
674,90,531,PANTOCID 40MG
675,40,573,RISEK 20MG CAPS
676,3000,602,Pylotrip 7's
677,60,624,ESOME 40MG
678,140,637,NEXIUM 20MG
679,50,746,PILOT D TABS
680,80,816,"Creon 10,000iu caps"
681,55,921,PANTOCID 20MG
682,20,1049,UNIENZYME
683,15,1056,Cemet 400mg
684,30,1180,NOSPA TABS
685,1750,1452,Esofag-kit
686,800,1530,Emitino susp 30mls
687,75,1575,PANTODENK 40MG TABS
688,80,1653,APRAZOLE PLUS
689,140,1706,MESACOL Tabs 400mg
690,50,1761,ESOMAC 20Mg 28's
691,30,1854,LAN 30MG
692,75,1864,RISEK INSTA SATCH 20
693,100,1951,LORABIL PLUS TABS
694,50,1956,ITORCIP 50MG
695,300,1961,REME-D
696,100,2150,RAZID M TABS
697,35,2242,ESOME 20MG
698,125,2419,robidom sr caps
699,80,2439,ESOSE 40MG
700,55,2536,BAROLE 20MG
701,90,2699,ESOMAC 40Mg 14's
702,45,2738,NEXPRO 40MG
703,70,2910,RABELOC 20MG
704,25,3026,RABEMAC 20MG
705,20,3054,BRALIX TABS
706,2050,3193,Peglec 137.5mg
707,1500,3257,GAVISCON ORIG Peppermint 150ML
708,120,3312,PROLOC D TABS
709,3700,3361,ESCLAM KIT
710,55,3395,MOZA 5MG
711,45,3785,ESOSE 20MG
712,3300,3926,NEXIKEN KIT
713,280,4254,NEXIUM 10MG SATCHETS
